LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID46604,46604,2,161.17816162109375,24.49239128426169,14.115584484673938,2.878489970609643,6.619400000000001,17,0.25,1,,738.0379746835443,650.0,0.0,1935.0,58305.0,455.3477803871869,0.3582667576853488,0.8550409637563491
ID46510,46510,2,193.85498046875,25.07604834792644,14.209809724061996,2.2484464059895006,0.0,0,0.25,1,,1127.012658227848,1077.0,4.0,2407.0,89034.0,563.7275094989778,0.24007386813577572,0.7740818688700613
ID46607,46607,2,227.7823486328125,24.296496686039227,13.262284229551947,2.9556630549552576,8.176905882352942,21,0.25,1,,1023.6455696202531,850.0,0.0,2625.0,80868.0,641.1353518838656,0.3674399133070575,0.8580408418886386
ID46576,46576,2,144.41583251953125,24.694679367310588,14.403472312369276,2.845688561449444,5.451270588235294,14,0.25,1,,801.8860759493671,688.0,108.0,2144.0,63349.0,492.0685273138955,0.34141426456221513,0.8295371144353018
ID46547,46547,2,148.072021484375,25.11334145813072,14.193970831199431,2.384016097787807,1.1681294117647059,3,0.25,1,,1061.367088607595,1078.0,106.0,2056.0,83848.0,426.8360394155808,0.21106973156179992,0.8667449876187739
ID46516,46516,2,319.421142578125,25.02821027758802,13.988851236712978,1.6820189847026643,0.3893764705882353,1,0.25,1,,1542.5569620253164,1287.0,189.0,4517.0,121862.0,981.6147182306623,0.3734638652879626,0.8545972562082914
ID46551,46551,2,284.411376953125,24.81646695693613,14.658446298821978,1.8135105251106771,3.8937647058823535,10,0.25,1,,1519.379746835443,1446.0,417.0,3390.0,120031.0,777.5381481909699,0.332455164175677,0.9751133489816973
ID46615,46615,2,183.02978515625,24.261692153271262,13.557324149603811,3.133426157042549,8.566282352941178,22,0.25,1,,886.8101265822785,816.0,0.0,2314.0,70058.0,594.2360334798634,0.3616443920437038,0.792719770082348
ID46522,46522,2,167.44696044921875,24.900826242476526,14.070597617626484,1.938022142067712,0.7787529411764706,2,0.25,1,,913.1645569620254,879.0,0.0,2327.0,72140.0,552.979306664798,0.29364899989978643,0.7496908869183294
ID46586,46586,2,222.468017578125,24.667628807530804,14.180883497722677,2.6764262977827986,6.230023529411765,16,0.25,1,,1147.126582278481,1076.0,297.0,2497.0,90623.0,549.7146198334934,0.310714081833973,0.9893660945121693
